"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\comment\Comment.vue", "Vue", 9, 0, 0, 1, 10
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\video.js", "JavaScript", 0, 15, 5, 5, 25
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\videoDetail\VideoDetail.vue", "Vue", 46, 0, -30, 1, 17
"Total", "-", 55, 15, -25, 7, 52
