"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\video.js", "JavaScript", 0, 10, 6, 2, 18
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\video\videoChildren\VideoList.vue", "Vue", 2, 0, 0, 0, 2
"Total", "-", 2, 10, 6, 2, 20
