"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\components\home\IconList.vue", "Vue", 15, 0, 0, 1, 16
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\request\api\home.js", "JavaScript", 0, 3, 2, 1, 6
"c:\Users\25416\Desktop\NeteaseCloud\NeteaseCloud\app\src\views\Ranking\ranking.vue", "Vue", 4, 0, -1, 0, 3
"Total", "-", 19, 3, 1, 2, 25
